feature_name,family,mi_score,rf_importance,lgb_importance,perm_drop,anova_ratio,composite_score,consensus_rank
fwd_pkt_size_p10,PACKET_SIZE,0.2247,0.0118,0.0118,0.0804,0.2987,0.9578,1
pkt_size_p90,PACKET_SIZE,0.2275,0.0118,0.0118,0.0764,0.2789,0.9442,2
fwd_pkt_size_p75,PACKET_SIZE,0.2444,0.0118,0.0118,0.0587,0.2979,0.9367,3
fwd_pkt_size_p25,PACKET_SIZE,0.2362,0.0118,0.0118,0.0595,0.3040,0.9327,4
fwd_pkt_size_std,PACKET_SIZE,0.2491,0.0118,0.0118,0.0613,0.2638,0.9309,5
fwd_pkt_size_median,PACKET_SIZE,0.2342,0.0118,0.0118,0.0594,0.3033,0.9302,6
pkt_size_p75,PACKET_SIZE,0.2444,0.0118,0.0118,0.0507,0.2979,0.9218,7
fwd_pkt_size_mean,PACKET_SIZE,0.2404,0.0118,0.0118,0.0362,0.2962,0.8899,8
pkt_size_p95,PACKET_SIZE,0.2512,0.0118,0.0118,0.0377,0.2659,0.8898,9
fwd_pkt_size_p95,PACKET_SIZE,0.2512,0.0118,0.0118,0.0326,0.2659,0.8802,10
pkt_size_p10,PACKET_SIZE,0.2247,0.0118,0.0118,0.0377,0.2987,0.8781,11
pkt_size_p25,PACKET_SIZE,0.2362,0.0118,0.0118,0.0279,0.3040,0.8736,12
pkt_size_std,PACKET_SIZE,0.2491,0.0118,0.0118,0.0279,0.2638,0.8685,13
fwd_pkt_size_p90,PACKET_SIZE,0.2275,0.0118,0.0118,0.0340,0.2789,0.8651,14
pkt_size_median,PACKET_SIZE,0.2342,0.0118,0.0118,0.0189,0.3033,0.8546,15
iat_median,INTER_ARRIVAL_TIME,0.1219,0.0118,0.0118,0.0663,0.3002,0.8300,16
pkt_size_mean,PACKET_SIZE,0.2404,0.0118,0.0118,0.0036,0.2962,0.8290,17
fwd_pkt_size_max,PACKET_SIZE,0.2037,0.0118,0.0118,0.0407,0.2149,0.8253,18
fwd_iat_median,INTER_ARRIVAL_TIME,0.1219,0.0118,0.0118,0.0589,0.3002,0.8161,19
total_packets,FLOW,0.0729,0.0118,0.0118,0.0759,0.3218,0.8087,20
pkt_size_max,PACKET_SIZE,0.2037,0.0118,0.0118,0.0203,0.2149,0.7871,21
flow_rate_packets,FLOW,0.0729,0.0118,0.0118,0.0537,0.3132,0.7634,22
fwd_packets_per_sec,RATE,0.0729,0.0118,0.0118,0.0472,0.3132,0.7513,23
max_burst_packets,BURST,0.0729,0.0118,0.0118,0.0416,0.3323,0.7494,24
iat_max,INTER_ARRIVAL_TIME,0.0988,0.0118,0.0118,0.0494,0.2371,0.7470,25
